Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd Pkts/s,Bwd Pkts/s
443,6,187081.81381225586,11,6,3365,2296,1370.0,42.0,305.90909090909093,444.99549630927413,11692.613363265991,23474.78970194657,79814.91088867188,0.0,58.79780495948657,32.07152997790176
443,6,367.87986755371094,0,3,0,144,0,0,0,0,183.93993377685547,7.033348083496094,190.97328186035156,176.90658569335938,0.0,8154.836033700583
10940,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
10940,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,195266.0083770752,15,8,7815,2388,1370.0,42.0,521.0,533.684675940141,8875.727653503418,21197.382924550853,85958.95767211914,0.0,76.818285602652,40.9697523214144
443,6,391.0064697265625,0,3,0,144,0,0,0,0,195.50323486328125,17.404556274414062,212.9077911376953,178.0986785888672,0.0,7672.507317073171
10941,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
10941,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,4230895.042419434,15,9,8248,1840,1370.0,42.0,549.8666666666667,517.5456007820845,183951.95836606232,814713.9998147042,4003771.0666656494,0.0,3.545349116347321,2.1272094698083928
10939,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,4228070.020675659,14,10,9010,1880,1370.0,42.0,643.5714285714286,578.0612565520462,183829.1313337243,818803.1831517331,4022938.013076782,0.0,3.3112034407043134,2.365145314788795
10942,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,4222349.166870117,15,10,7928,1895,1370.0,42.0,528.5333333333333,568.6634466497346,175931.21528625488,799806.9641884204,4010646.104812622,0.0,3.5525247693143736,2.368349846209582
10943,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,4214332.818984985,13,10,7730,1888,1370.0,42.0,594.6153846153846,588.6161787762547,191560.5826811357,822593.2045423422,3959664.821624756,0.0,3.084711283702322,2.3728548336171706
10944,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,4241092.920303345,15,10,8226,1880,1370.0,42.0,548.4,553.4704809954486,176712.20501263937,800436.4862776849,4014168.0240631104,0.0,3.536824182321175,2.3578827882141162
10945,6,1,1,0,42,0,42.0,42.0,42.0,0.0,0,0,0,0,1000000.0,0.0
443,6,1,1,0,40,0,40.0,40.0,40.0,0.0,0,0,0,0,1000000.0,0.0
10927,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
10925,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
80,6,118.97087097167969,2,0,80,0,40.0,40.0,40.0,0.0,118.97087097167969,0.0,118.97087097167969,118.97087097167969,16810.8376753507,0.0
80,6,1,1,0,40,0,40.0,40.0,40.0,0.0,0,0,0,0,1000000.0,0.0
80,6,1,1,0,40,0,40.0,40.0,40.0,0.0,0,0,0,0,1000000.0,0.0
80,6,1,1,0,40,0,40.0,40.0,40.0,0.0,0,0,0,0,1000000.0,0.0
10934,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
10935,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
10936,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
10924,6,5030929.803848267,3,2,120,143,40.0,40.0,40.0,0.0,1257732.4509620667,2178227.4567228043,5030533.075332642,71.76399230957031,0.5963112420501744,0.3975408280334496
10924,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
